State,County,City,ZipCode,Lat,Long,Radius,Score
Georgia,DeKalb County,Avondale Estates,30002,33.77,-84.26,1.0,147
Georgia,Fulton County,Alpharetta,30004,34.14,-84.29,6.0,9
Georgia,Fulton County,Alpharetta,30005,34.09,-84.22,4.0,160
Georgia,Cobb County,Marietta,30008,33.9,-84.59,4.0,294
Georgia,Fulton County,Alpharetta,30009,34.08,-84.3,3.0,140
Georgia,Barrow County,Auburn,30011,34.03,-83.83,5.0,129
Georgia,Rockdale County,Conyers,30012,33.72,-84.01,6.0,161
Georgia,Rockdale County,Conyers,30013,33.64,-83.97,7.0,231
Georgia,Newton County,Covington,30014,33.6,-83.8,16.0,124
Georgia,Newton County,Covington,30016,33.5,-83.9,9.0,108
Georgia,Gwinnett County,Grayson,30017,33.89,-83.96,3.0,201
Georgia,Gwinnett County,Dacula,30019,34.0,-83.9,8.0,278
Georgia,DeKalb County,Clarkston,30021,33.81,-84.24,2.0,38
Georgia,Fulton County,Alpharetta,30022,34.02,-84.25,5.0,9
Georgia,Gwinnett County,Suwanee,30024,34.07,-84.1,6.0,101
Georgia,Walton County,Social Circle,30025,33.6,-83.7,7.0,160
Georgia,Forsyth County,Cumming,30028,34.3,-84.2,8.0,114
Georgia,DeKalb County,Decatur,30030,33.77,-84.29,2.0,67
Georgia,DeKalb County,Decatur,30032,33.75,-84.27,3.0,278
Georgia,DeKalb County,Decatur,30033,33.82,-84.29,3.0,133
Georgia,DeKalb County,Decatur,30034,33.69,-84.25,4.0,146
Georgia,DeKalb County,Decatur,30035,33.73,-84.2,3.0,169
Georgia,DeKalb County,Lithonia,30038,33.66,-84.14,5.0,183
Georgia,Gwinnett County,Snellville,30039,33.8,-84.03,5.0,244
Georgia,Forsyth County,Cumming,30040,34.2,-84.2,7.0,91
Georgia,Forsyth County,Cumming,30041,34.2,-84.1,11.0,121
Georgia,Gwinnett County,Lawrenceville,30043,34.01,-84.01,6.0,128
Georgia,Gwinnett County,Lawrenceville,30044,33.92,-84.07,5.0,4
