,City,County,Lat,Long,Radius,State,ZipCode,ZipScore,id,CountyScore
0,Avondale Estates,DeKalb County,33.77,-84.26,1.0,Georgia,30002,45,13089,99
1,Alpharetta,Fulton County,34.14,-84.29,6.0,Georgia,30004,59,13121,96
2,Alpharetta,Fulton County,34.09,-84.22,4.0,Georgia,30005,64,13121,96
3,Marietta,Cobb County,33.9,-84.59,4.0,Georgia,30008,87,13067,93
4,Alpharetta,Fulton County,34.08,-84.3,3.0,Georgia,30009,1,13121,96
5,Auburn,Barrow County,34.03,-83.83,5.0,Georgia,30011,30,13013,74
6,Conyers,Rockdale County,33.72,-84.01,6.0,Georgia,30012,4,13247,22
7,Conyers,Rockdale County,33.64,-83.97,7.0,Georgia,30013,22,13247,22
8,Covington,Newton County,33.6,-83.8,16.0,Georgia,30014,36,13217,64
9,Covington,Newton County,33.5,-83.9,9.0,Georgia,30016,50,13217,64
10,Grayson,Gwinnett County,33.89,-83.96,3.0,Georgia,30017,55,13135,97
11,Dacula,Gwinnett County,34.0,-83.9,8.0,Georgia,30019,16,13135,97
12,Clarkston,DeKalb County,33.81,-84.24,2.0,Georgia,30021,59,13089,99
13,Alpharetta,Fulton County,34.02,-84.25,5.0,Georgia,30022,24,13121,96
14,Suwanee,Gwinnett County,34.07,-84.1,6.0,Georgia,30024,8,13135,97
15,Social Circle,Walton County,33.6,-83.7,7.0,Georgia,30025,98,13297,98
16,Cumming,Forsyth County,34.3,-84.2,8.0,Georgia,30028,14,13117,85
17,Decatur,DeKalb County,33.77,-84.29,2.0,Georgia,30030,57,13089,99
18,Decatur,DeKalb County,33.75,-84.27,3.0,Georgia,30032,75,13089,99
19,Decatur,DeKalb County,33.82,-84.29,3.0,Georgia,30033,39,13089,99
20,Decatur,DeKalb County,33.69,-84.25,4.0,Georgia,30034,68,13089,99
21,Decatur,DeKalb County,33.73,-84.2,3.0,Georgia,30035,52,13089,99
22,Lithonia,DeKalb County,33.66,-84.14,5.0,Georgia,30038,12,13089,99
23,Snellville,Gwinnett County,33.8,-84.03,5.0,Georgia,30039,18,13135,97
24,Cumming,Forsyth County,34.2,-84.2,7.0,Georgia,30040,85,13117,85
25,Cumming,Forsyth County,34.2,-84.1,11.0,Georgia,30041,42,13117,85
26,Lawrenceville,Gwinnett County,34.01,-84.01,6.0,Georgia,30043,79,13135,97
27,Lawrenceville,Gwinnett County,33.92,-84.07,5.0,Georgia,30044,71,13135,97
28,Lawrenceville,Gwinnett County,33.93,-83.92,6.0,Georgia,30045,93,13135,97
29,Lawrenceville,Gwinnett County,33.95,-84.0,4.0,Georgia,30046,45,13135,97
30,Lilburn,Gwinnett County,33.87,-84.11,5.0,Georgia,30047,91,13135,97
31,Loganville,Walton County,33.8,-83.9,8.0,Georgia,30052,75,13297,98
32,Oxford,Newton County,33.68,-83.86,6.0,Georgia,30054,64,13217,64
33,Mansfield,Jasper County,33.5,-83.7,10.0,Georgia,30055,62,13159,74
34,Newborn,Jasper County,33.5,-83.65,6.0,Georgia,30056,71,13159,74
35,Lithonia,DeKalb County,33.74,-84.1,5.0,Georgia,30058,53,13089,99
36,Marietta,Cobb County,33.93,-84.54,6.0,Georgia,30060,52,13067,93
37,Marietta,Cobb County,34.0,-84.47,5.0,Georgia,30062,49,13067,93
38,Marietta,Cobb County,33.93,-84.62,5.0,Georgia,30064,93,13067,93
39,Marietta,Cobb County,34.02,-84.5,5.0,Georgia,30066,1,13067,93
40,Marietta,Cobb County,33.93,-84.46,4.0,Georgia,30067,93,13067,93
41,Marietta,Cobb County,33.97,-84.44,5.0,Georgia,30068,85,13067,93
42,Norcross,Gwinnett County,33.94,-84.21,4.0,Georgia,30071,45,13135,97
