,City,County,Lat,Long,Radius,State,ZipCode,ZipScore,id,CountyScore
0,Avondale Estates,DeKalb County,33.77,-84.26,1.0,Georgia,30002,26,13089,97
1,Alpharetta,Fulton County,34.14,-84.29,6.0,Georgia,30004,17,13121,98
2,Alpharetta,Fulton County,34.09,-84.22,4.0,Georgia,30005,91,13121,98
3,Marietta,Cobb County,33.9,-84.59,4.0,Georgia,30008,19,13067,96
4,Alpharetta,Fulton County,34.08,-84.3,3.0,Georgia,30009,53,13121,98
5,Auburn,Barrow County,34.03,-83.83,5.0,Georgia,30011,66,13013,95
6,Conyers,Rockdale County,33.72,-84.01,6.0,Georgia,30012,74,13247,74
7,Conyers,Rockdale County,33.64,-83.97,7.0,Georgia,30013,66,13247,74
8,Covington,Newton County,33.6,-83.8,16.0,Georgia,30014,42,13217,99
9,Covington,Newton County,33.5,-83.9,9.0,Georgia,30016,79,13217,99
10,Grayson,Gwinnett County,33.89,-83.96,3.0,Georgia,30017,57,13135,99
11,Dacula,Gwinnett County,34.0,-83.9,8.0,Georgia,30019,65,13135,99
12,Clarkston,DeKalb County,33.81,-84.24,2.0,Georgia,30021,35,13089,97
13,Alpharetta,Fulton County,34.02,-84.25,5.0,Georgia,30022,12,13121,98
14,Suwanee,Gwinnett County,34.07,-84.1,6.0,Georgia,30024,24,13135,99
15,Social Circle,Walton County,33.6,-83.7,7.0,Georgia,30025,94,13297,94
16,Cumming,Forsyth County,34.3,-84.2,8.0,Georgia,30028,4,13117,98
17,Decatur,DeKalb County,33.77,-84.29,2.0,Georgia,30030,69,13089,97
18,Decatur,DeKalb County,33.75,-84.27,3.0,Georgia,30032,0,13089,97
19,Decatur,DeKalb County,33.82,-84.29,3.0,Georgia,30033,29,13089,97
20,Decatur,DeKalb County,33.69,-84.25,4.0,Georgia,30034,58,13089,97
21,Decatur,DeKalb County,33.73,-84.2,3.0,Georgia,30035,27,13089,97
22,Lithonia,DeKalb County,33.66,-84.14,5.0,Georgia,30038,54,13089,97
23,Snellville,Gwinnett County,33.8,-84.03,5.0,Georgia,30039,5,13135,99
24,Cumming,Forsyth County,34.2,-84.2,7.0,Georgia,30040,45,13117,98
25,Cumming,Forsyth County,34.2,-84.1,11.0,Georgia,30041,98,13117,98
