,Zipcode,Score,City,County,Lat,Long,State,ZipScore,CountyScore,id
0,30002,2,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,16,394.0,13089
1,30002,1,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,16,394.0,13089
2,30002,1,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,16,394.0,13089
3,30002,1,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,16,394.0,13089
4,30002,2,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,16,394.0,13089
5,30002,2,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,16,394.0,13089
6,30002,2,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,16,394.0,13089
7,30002,1,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,16,394.0,13089
8,30002,2,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,16,394.0,13089
9,30002,2,Avondale Estates,DeKalb County,33.77,-84.26,Georgia,16,394.0,13089
10,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
11,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
12,30004,2,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
13,30004,2,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
14,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
15,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
16,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
17,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
18,30004,2,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
19,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
20,30004,2,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
21,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
22,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
23,30004,2,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
24,30004,2,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
25,30004,2,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
26,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
27,30004,1,Alpharetta,Fulton County,34.14,-84.29,Georgia,25,596.0,13121
28,30005,2,Alpharetta,Fulton County,34.09,-84.22,Georgia,13,596.0,13121
29,30005,2,Alpharetta,Fulton County,34.09,-84.22,Georgia,13,596.0,13121
30,30005,2,Alpharetta,Fulton County,34.09,-84.22,Georgia,13,596.0,13121
31,30005,1,Alpharetta,Fulton County,34.09,-84.22,Georgia,13,596.0,13121
32,30005,1,Alpharetta,Fulton County,34.09,-84.22,Georgia,13,596.0,13121
33,30005,1,Alpharetta,Fulton County,34.09,-84.22,Georgia,13,596.0,13121
34,30005,2,Alpharetta,Fulton County,34.09,-84.22,Georgia,13,596.0,13121
35,30005,1,Alpharetta,Fulton County,34.09,-84.22,Georgia,13,596.0,13121
36,30006,1,Marietta,Cobb County,,,Georgia,3,167.0,13067
37,30006,2,Marietta,Cobb County,,,Georgia,3,167.0,13067
38,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
39,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
40,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
41,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
42,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
43,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
44,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
45,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
46,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
47,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
48,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
49,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
50,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
51,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
52,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
53,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
54,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
55,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
56,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
57,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
58,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
59,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
60,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
61,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
62,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
63,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
64,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
65,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
66,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
67,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
68,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
69,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
70,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
71,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
72,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
73,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
74,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
75,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
76,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
77,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
78,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
79,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
80,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
81,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
82,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
83,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
84,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
85,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
86,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
87,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
88,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
89,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
90,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
91,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
92,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
93,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
94,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
95,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
96,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
97,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
98,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
99,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
100,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
101,30008,2,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
102,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
103,30008,1,Marietta,Cobb County,33.9,-84.59,Georgia,97,167.0,13067
104,30009,2,Alpharetta,Fulton County,34.08,-84.3,Georgia,7,596.0,13121
105,30009,1,Alpharetta,Fulton County,34.08,-84.3,Georgia,7,596.0,13121
106,30009,1,Alpharetta,Fulton County,34.08,-84.3,Georgia,7,596.0,13121
107,30009,1,Alpharetta,Fulton County,34.08,-84.3,Georgia,7,596.0,13121
108,30009,1,Alpharetta,Fulton County,34.08,-84.3,Georgia,7,596.0,13121
109,30009,1,Alpharetta,Fulton County,34.08,-84.3,Georgia,7,596.0,13121
110,30010,1,Norcross,Gwinnett County,,,Georgia,1,213.0,13135
111,30011,2,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
112,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
113,30011,2,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
114,30011,2,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
115,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
116,30011,2,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
117,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
118,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
119,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
120,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
121,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
122,30011,2,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
123,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
124,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
125,30011,2,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
126,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
127,30011,2,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
128,30011,2,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
129,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
130,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
131,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
132,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
133,30011,2,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
134,30011,2,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
135,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
136,30011,1,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
137,30011,2,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
138,30011,2,Auburn,Barrow County,34.03,-83.83,Georgia,45,128.0,13013
